// Pharaoh_Unloaded.sg3
INFO: 122 --- system.bmp:123, 8x14, type 20
INFO: 123 --- system.bmp:124, 8x14, type 20
INFO: 124 --- system.bmp:125, 6x11, type 20
INFO: 125 --- system.bmp:126, 5x11, type 20
INFO: 126 --- system.bmp:127, 5x11, type 20
INFO: 127 --- system.bmp:128, 9x11, type 20
INFO: 128 --- system.bmp:129, 9x11, type 20
INFO: 129 --- system.bmp:130, 14x11, type 20
INFO: 130 --- system.bmp:131, 9x11, type 20
INFO: 131 --- system.bmp:132, 10x14, type 20
INFO: 132 --- system.bmp:133, 6x11, type 20
INFO: 133 --- system.bmp:134, 11x11, type 20
INFO: 134 --- system.bmp:135, 8x11, type 20
INFO: 135 --- system.bmp:136, 8x11, type 20
INFO: 136 --- system.bmp:137, 10x11, type 20
INFO: 137 --- system.bmp:138, 6x11, type 20
INFO: 138 --- system.bmp:139, 6x11, type 20
INFO: 139 --- system.bmp:140, 10x11, type 20
INFO: 140 --- system.bmp:141, 10x11, type 20
INFO: 141 --- system.bmp:142, 4x11, type 20
INFO: 142 --- system.bmp:143, 5x14, type 20
INFO: 143 --- system.bmp:144, 9x11, type 20
INFO: 144 --- system.bmp:145, 6x11, type 20
INFO: 145 --- system.bmp:146, 15x11, type 20
INFO: 146 --- system.bmp:147, 10x11, type 20
INFO: 147 --- system.bmp:148, 10x11, type 20
INFO: 148 --- system.bmp:149, 8x11, type 20
INFO: 149 --- system.bmp:150, 10x12, type 20
INFO: 150 --- system.bmp:151, 10x11, type 20
INFO: 151 --- system.bmp:152, 8x11, type 20
INFO: 152 --- system.bmp:153, 8x11, type 20
INFO: 153 --- system.bmp:154, 10x11, type 20
INFO: 154 --- system.bmp:155, 11x11, type 20
INFO: 155 --- system.bmp:156, 17x11, type 20
INFO: 156 --- system.bmp:157, 10x11, type 20
INFO: 157 --- system.bmp:158, 12x11, type 20
INFO: 158 --- system.bmp:159, 8x11, type 20
INFO: 159 --- system.bmp:160, 4x11, type 20
INFO: 160 --- system.bmp:161, 6x11, type 20
INFO: 161 --- system.bmp:162, 6x11, type 20
INFO: 162 --- system.bmp:163, 6x11, type 20
INFO: 163 --- system.bmp:164, 6x11, type 20
INFO: 164 --- system.bmp:165, 6x11, type 20
INFO: 165 --- system.bmp:166, 6x11, type 20
INFO: 166 --- system.bmp:167, 6x11, type 20
INFO: 167 --- system.bmp:168, 6x11, type 20
INFO: 168 --- system.bmp:169, 6x11, type 20
INFO: 169 --- system.bmp:170, 2x11, type 20
INFO: 170 --- system.bmp:171, 6x11, type 20
INFO: 171 --- system.bmp:172, 10x11, type 20
INFO: 172 --- system.bmp:173, 5x11, type 20
INFO: 173 --- system.bmp:174, 4x11, type 20
INFO: 174 --- system.bmp:175, 4x11, type 20
INFO: 175 --- system.bmp:176, 6x11, type 20
INFO: 176 --- system.bmp:177, 6x11, type 20
INFO: 177 --- system.bmp:178, 6x11, type 20
INFO: 178 --- system.bmp:179, 2x11, type 20
INFO: 179 --- system.bmp:180, 2x11, type 20
INFO: 180 --- system.bmp:181, 2x11, type 20
INFO: 181 --- system.bmp:182, 6x11, type 20
INFO: 182 --- system.bmp:183, 5x11, type 20
INFO: 183 --- system.bmp:184, 5x11, type 20
INFO: 184 --- system.bmp:185, 2x13, type 20
INFO: 185 --- system.bmp:186, 2x11, type 20
INFO: 186 --- system.bmp:187, 7x11, type 20
INFO: 187 --- system.bmp:188, 19x14, type 0
INFO: 188 --- system.bmp:189, 15x15, type 0
INFO: 189 --- system.bmp:190, 15x15, type 0
INFO: 190 --- system.bmp:191, 16x15, type 0
INFO: 191 --- system.bmp:192, 15x15, type 0
INFO: 192 --- system.bmp:193, 0x0, type 0
INFO: 193 --- system.bmp:194, 0x0, type 0
INFO: 194 --- system.bmp:195, 0x0, type 0
INFO: 195 --- system.bmp:196, 0x0, type 0
INFO: 196 --- system.bmp:197, 0x0, type 0
INFO: 197 --- system.bmp:198, 0x0, type 0
INFO: 198 --- system.bmp:199, 0x0, type 0
INFO: 199 --- system.bmp:200, 0x0, type 0
INFO: 200 --- system.bmp:201, 0x0, type 0
INFO: 201 --- title.bmp:1, 640x480, type 1
INFO: 202 --- panelwindows.BMP:1, 149x54, type 1
INFO: 203 --- panelwindows.BMP:2, 149x54, type 1
INFO: 204 --- panelwindows.BMP:3, 149x54, type 1
INFO: 205 --- panelwindows.BMP:4, 149x54, type 1
INFO: 206 --- panelwindows.BMP:5, 149x54, type 1
INFO: 207 --- panelwindows.BMP:6, 149x54, type 1
INFO: 208 --- panelwindows.BMP:7, 149x54, type 1
INFO: 209 --- panelwindows.BMP:8, 149x54, type 1
INFO: 210 --- panelwindows.BMP:9, 149x54, type 1
INFO: 211 --- panelwindows.BMP:10, 149x54, type 1
INFO: 212 --- panelwindows.BMP:11, 149x54, type 1
INFO: 213 --- panelwindows.BMP:12, 149x54, type 1
INFO: 214 --- panelwindows.BMP:13, 149x54, type 1
INFO: 215 --- panelwindows.BMP:14, 640x58, type 1
INFO: 216 --- panelwindows.BMP:15, 557x211, type 1
INFO: 217 --- panelwindows.BMP:16, 126x88, type 1
INFO: 218 --- panelwindows.BMP:17, 81x91, type 1
INFO: 219 --- panelwindows.BMP:18, 81x91, type 1
INFO: 220 --- panelwindows.BMP:19, 81x91, type 1
INFO: 221 --- panelwindows.BMP:20, 81x91, type 1
INFO: 222 --- panelwindows.BMP:21, 81x91, type 1
INFO: 223 --- panelwindows.BMP:22, 81x91, type 1
INFO: 224 --- panelwindows.BMP:23, 81x91, type 1
INFO: 225 --- panelwindows.BMP:24, 81x91, type 1
INFO: 226 --- panelwindows.BMP:25, 81x91, type 1
INFO: 227 --- panelwindows.BMP:26, 81x91, type 1
INFO: 228 --- panelwindows.BMP:27, 520x235, type 1
INFO: 229 --- panelwindows.BMP:28, 81x80, type 1
INFO: 230 --- panelwindows.BMP:29, 81x80, type 1
INFO: 231 --- panelwindows.BMP:30, 81x80, type 1
INFO: 232 --- panelwindows.BMP:31, 81x80, type 1
INFO: 233 --- panelwindows.BMP:32, 81x80, type 1
INFO: 234 --- panelwindows.BMP:33, 81x80, type 1
INFO: 235 --- panelwindows.BMP:34, 81x80, type 1
INFO: 236 --- panelwindows.BMP:35, 81x80, type 1
INFO: 237 --- panelwindows.BMP:36, 149x54, type 1
INFO: 238 --- panelwindows.BMP:37, 149x54, type 1
INFO: 239 --- panelwindows.BMP:38, 149x54, type 1
INFO: 240 --- panelwindows.BMP:39, 149x54, type 1
INFO: 241 --- panelwindows.BMP:40, 81x80, type 1
INFO: 242 --- panelwindows.BMP:41, 81x80, type 1
INFO: 243 --- panelwindows.BMP:42, 81x80, type 1
INFO: 244 --- panelwindows.BMP:43, 81x80, type 1
INFO: 245 --- panelwindows.BMP:44, 81x80, type 1
INFO: 246 --- panelwindows.BMP:45, 81x80, type 1
INFO: 247 --- panelwindows.BMP:46, 81x80, type 1
INFO: 248 --- panelwindows.BMP:47, 81x80, type 1
INFO: 249 --- panelwindows.BMP:48, 81x80, type 1
INFO: 250 --- panelwindows.BMP:49, 81x80, type 1
INFO: 251 --- panelwindows.BMP:50, 81x80, type 1
INFO: 252 --- panelwindows.BMP:51, 81x80, type 1
INFO: 253 --- panelwindows.BMP:52, 81x80, type 1
INFO: 254 --- panelwindows.BMP:53, 81x80, type 1
INFO: 255 --- panelwindows.BMP:54, 81x80, type 1
INFO: 256 --- panelwindows.BMP:55, 81x80, type 1
INFO: 257 --- panelwindows.BMP:56, 81x80, type 1
INFO: 258 --- panelwindows.BMP:57, 81x80, type 1
INFO: 259 --- panelwindows.BMP:58, 81x80, type 1
INFO: 260 --- panelwindows.BMP:59, 81x80, type 1
INFO: 261 --- panelwindows.BMP:60, 81x80, type 1
INFO: 262 --- panelwindows.BMP:61, 81x80, type 1
INFO: 263 --- panelwindows.BMP:62, 81x80, type 1
INFO: 264 --- panelwindows.BMP:63, 81x80, type 1
INFO: 265 --- panelwindows.BMP:64, 81x80, type 1
INFO: 266 --- panelwindows.BMP:65, 81x80, type 1
INFO: 267 --- panelwindows.BMP:66, 81x80, type 1
INFO: 268 --- panelwindows.BMP:67, 81x80, type 1
INFO: 269 --- panelwindows.BMP:68, 81x80, type 1
INFO: 270 --- panelwindows.BMP:69, 81x80, type 1
INFO: 271 --- panelwindows.BMP:70, 81x80, type 1
INFO: 272 --- panelwindows.BMP:71, 81x80, type 1
INFO: 273 --- panelwindows.BMP:72, 81x80, type 1
INFO: 274 --- panelwindows.BMP:73, 81x80, type 1
INFO: 275 --- panelwindows.BMP:74, 81x80, type 1
INFO: 276 --- panelwindows.BMP:75, 81x80, type 1
INFO: 277 --- panelwindows.BMP:76, 81x80, type 1
INFO: 278 --- panelwindows.BMP:77, 81x80, type 1
INFO: 279 --- panelwindows.BMP:78, 81x80, type 1
INFO: 280 --- panelwindows.BMP:79, 81x80, type 1
INFO: 281 --- panelwindows.BMP:80, 81x80, type 1
INFO: 282 --- panelwindows.BMP:81, 81x80, type 1
INFO: 283 --- panelwindows.BMP:82, 81x80, type 1
INFO: 284 --- panelwindows.BMP:83, 81x80, type 1
INFO: 285 --- panelwindows.BMP:84, 81x80, type 1
INFO: 286 --- panelwindows.BMP:85, 81x80, type 1
INFO: 287 --- panelwindows.BMP:86, 81x80, type 1
INFO: 288 --- panelwindows.BMP:87, 81x80, type 1
INFO: 289 --- panelwindows.BMP:88, 81x80, type 1
INFO: 290 --- panelwindows.BMP:89, 81x80, type 1
INFO: 291 --- panelwindows.BMP:90, 81x80, type 1
INFO: 292 --- Senate.bmp:1, 1024x768, type 1
INFO: 293 --- map_panels.BMP:1, 162x450, type 0
INFO: 294 --- map_panels.BMP:2, 162x120, type 1
INFO: 295 --- map_panels.BMP:3, 162x285, type 1
INFO: 296 --- History1A.bmp:1, 100x100, type 1
INFO: 297 --- History1A.bmp:2, 100x100, type 1
INFO: 298 --- History1A.bmp:3, 100x100, type 1
INFO: 299 --- History1A.bmp:4, 100x100, type 1
INFO: 300 --- History1A.bmp:5, 100x100, type 1
INFO: 301 --- History1A.bmp:6, 100x100, type 1
INFO: 302 --- History1A.bmp:7, 100x100, type 1
INFO: 303 --- History1A.bmp:8, 100x100, type 1
INFO: 304 --- History1A.bmp:9, 100x100, type 1
INFO: 305 --- History1A.bmp:10, 100x100, type 1
INFO: 306 --- History1A.bmp:11, 100x100, type 1
INFO: 307 --- History1A.bmp:12, 100x100, type 1
INFO: 308 --- History1A.bmp:13, 100x100, type 1
INFO: 309 --- History1A.bmp:14, 100x100, type 1
INFO: 310 --- History1A.bmp:15, 100x100, type 1
INFO: 311 --- History1A.bmp:16, 100x100, type 1
INFO: 312 --- History1A.bmp:17, 100x100, type 1
INFO: 313 --- History1A.bmp:18, 100x100, type 1
INFO: 314 --- History1A.bmp:19, 100x100, type 1
INFO: 315 --- History1A.bmp:20, 100x100, type 1
INFO: 316 --- History1A.bmp:21, 100x100, type 1
INFO: 317 --- History1A.bmp:22, 100x100, type 1
INFO: 318 --- History1A.bmp:23, 100x100, type 1
INFO: 319 --- History1A.bmp:24, 100x100, type 1
INFO: 320 --- History1A.bmp:25, 101x100, type 1
INFO: 321 --- History1A.bmp:26, 100x100, type 1
INFO: 322 --- History1A.bmp:27, 100x100, type 1
INFO: 323 --- History1A.bmp:28, 100x100, type 1
INFO: 324 --- History1A.bmp:29, 100x100, type 1
INFO: 325 --- History1A.bmp:30, 100x100, type 1
INFO: 326 --- History1A.bmp:31, 100x100, type 1
INFO: 327 --- History1A.bmp:32, 100x100, type 1
INFO: 328 --- History1A.bmp:33, 100x100, type 1
INFO: 329 --- History1A.bmp:34, 100x100, type 1
INFO: 330 --- History1A.bmp:35, 100x100, type 1
INFO: 331 --- History1A.bmp:36, 100x100, type 1
INFO: 332 --- History1A.bmp:37, 100x100, type 1
INFO: 333 --- History1A.bmp:38, 100x100, type 1
INFO: 334 --- History1A.bmp:39, 100x100, type 1
INFO: 335 --- History1A.bmp:40, 100x100, type 1
INFO: 336 --- History1A.bmp:41, 100x100, type 1
INFO: 337 --- History1A.bmp:42, 100x100, type 1
INFO: 338 --- History1A.bmp:43, 100x100, type 1
INFO: 339 --- History1A.bmp:44, 100x100, type 1
INFO: 340 --- History1A.bmp:45, 100x100, type 1
INFO: 341 --- History1A.bmp:46, 100x100, type 1
INFO: 342 --- History1A.bmp:47, 100x100, type 1
INFO: 343 --- History1A.bmp:48, 100x100, type 1
INFO: 344 --- History1A.bmp:49, 100x100, type 1
INFO: 345 --- Tutorial1.bmp:1, 323x166, type 0
INFO: 346 --- Tutorial1.bmp:2, 321x168, type 0
INFO: 347 --- Tutorial1.bmp:3, 320x163, type 0
INFO: 348 --- Tutorial1.bmp:4, 338x182, type 0
INFO: 349 --- Tutorial1.bmp:5, 323x163, type 0
INFO: 350 --- Tutorial1.bmp:6, 339x191, type 0
INFO: 351 --- Tutorial1.bmp:7, 398x277, type 0
INFO: 352 --- Tutorial1.bmp:8, 400x296, type 0
INFO: 353 --- Tutorial2.bmp:1, 398x270, type 0
INFO: 354 --- Tutorial2.bmp:2, 396x281, type 0
INFO: 355 --- Tutorial2.bmp:3, 400x413, type 0
INFO: 356 --- Tutorial2.bmp:4, 399x288, type 0
INFO: 357 --- Tutorial2.bmp:5, 258x136, type 0
INFO: 358 --- Tutorial2.bmp:6, 312x184, type 0
INFO: 359 --- Tutorial2.bmp:7, 317x181, type 0
INFO: 360 --- Tutorial3.bmp:1, 391x98, type 0
INFO: 361 --- Tutorial3.bmp:2, 316x163, type 0
INFO: 362 --- Tutorial3.bmp:3, 319x176, type 0
INFO: 363 --- Tutorial3.bmp:4, 399x259, type 0
INFO: 364 --- Tutorial3.bmp:5, 399x259, type 0
INFO: 365 --- Tutorial3.bmp:6, 319x171, type 0
INFO: 366 --- Tutorial4.bmp:1, 399x288, type 0
INFO: 367 --- Tutorial4.bmp:2, 332x123, type 0
INFO: 368 --- Tutorial4.bmp:3, 323x243, type 0
INFO: 369 --- Tutorial4.bmp:4, 399x296, type 0
INFO: 370 --- Tutorial4.bmp:5, 398x203, type 0
INFO: 371 --- Tutorial4.bmp:6, 52x39, type 0
INFO: 372 --- Tutorial4.bmp:7, 39x53, type 0
INFO: 373 --- Tutorial4.bmp:8, 65x39, type 0
INFO: 374 --- History2A.BMP:1, 100x100, type 1
INFO: 375 --- History2A.BMP:2, 100x100, type 1
INFO: 376 --- History2A.BMP:3, 100x100, type 1
INFO: 377 --- History2A.BMP:4, 100x100, type 1
INFO: 378 --- History2A.BMP:5, 100x100, type 1
INFO: 379 --- History2A.BMP:6, 100x100, type 1
INFO: 380 --- History2A.BMP:7, 100x100, type 1
INFO: 381 --- History2A.BMP:8, 100x100, type 1
INFO: 382 --- History2A.BMP:9, 100x100, type 1
INFO: 383 --- History2A.BMP:10, 100x100, type 1
INFO: 384 --- History2A.BMP:11, 100x100, type 1
INFO: 385 --- History2A.BMP:12, 100x100, type 1
INFO: 386 --- History2A.BMP:13, 100x100, type 1
INFO: 387 --- History2A.BMP:14, 100x100, type 1
INFO: 388 --- History2A.BMP:15, 100x100, type 1
INFO: 389 --- History2A.BMP:16, 100x100, type 1
INFO: 390 --- History2A.BMP:17, 100x100, type 1
INFO: 391 --- History2A.BMP:18, 100x100, type 1
INFO: 392 --- History2A.BMP:19, 100x100, type 1
INFO: 393 --- History2A.BMP:20, 100x100, type 1
INFO: 394 --- History2A.BMP:21, 100x100, type 1
INFO: 395 --- History2A.BMP:22, 100x100, type 1
INFO: 396 --- History2A.BMP:23, 100x100, type 1
INFO: 397 --- History2A.BMP:24, 100x100, type 1
INFO: 398 --- History2A.BMP:25, 101x100, type 1
INFO: 399 --- History2A.BMP:26, 100x100, type 1
INFO: 400 --- History2A.BMP:27, 100x100, type 1
INFO: 401 --- History2A.BMP:28, 100x100, type 1
INFO: 402 --- History2A.BMP:29, 100x100, type 1
INFO: 403 --- History2A.BMP:30, 100x100, type 1
INFO: 404 --- History2A.BMP:31, 100x100, type 1
INFO: 405 --- History2A.BMP:32, 100x100, type 1
INFO: 406 --- History2A.BMP:33, 100x100, type 1
INFO: 407 --- History2A.BMP:34, 100x100, type 1
INFO: 408 --- History2A.BMP:35, 100x100, type 1
INFO: 409 --- History2A.BMP:36, 100x100, type 1
INFO: 410 --- History2A.BMP:37, 100x100, type 1
INFO: 411 --- History2A.BMP:38, 100x100, type 1
INFO: 412 --- History2A.BMP:39, 100x100, type 1
INFO: 413 --- History2A.BMP:40, 100x100, type 1
INFO: 414 --- History2A.BMP:41, 100x100, type 1
INFO: 415 --- History2A.BMP:42, 100x100, type 1
INFO: 416 --- History2A.BMP:43, 100x100, type 1
INFO: 417 --- History2A.BMP:44, 100x100, type 1
INFO: 418 --- History2A.BMP:45, 100x100, type 1
INFO: 419 --- History2A.BMP:46, 100x100, type 1
INFO: 420 --- History2A.BMP:47, 100x100, type 1
INFO: 421 --- History2A.BMP:48, 100x100, type 1
INFO: 422 --- History2A.BMP:49, 100x100, type 1
INFO: 423 --- scoreb.BMP:1, 1024x768, type 1
INFO: 424 --- Briefing1a.bmp:1, 1024x768, type 1
INFO: 425 --- C3title.BMP:1, 640x480, type 1
INFO: 426 --- Demo1.bmp:1, 640x480, type 1
INFO: 427 --- Demo2.bmp:1, 640x480, type 1
INFO: 428 --- Demo3.bmp:1, 640x480, type 1
INFO: 429 --- bigpeople.BMP:1, 55x79, type 1
INFO: 430 --- bigpeople.BMP:2, 55x79, type 1
